name,tagline,web_site,main_product_or_service,categories,web_domain
DatologyAI,Automated data curation for GenAI,https://www.datologyai.com,Automated data curation,AI | Data Curation | Machine Learning,datologyai.com
Deasie,Automated Labeling of Unstructured Data,https://www.deasie.com/,Metadata tagging solution for unstructured data,AI | Data Governance | Metadata Management,deasie.com
Decagon,Enterprise-grade generative AI for customer support,https://decagon.ai,AI support agents for enterprises,AI | Customer Service | Technology,decagon.ai
Deci,AI-Powered Deep Learning Optimization,https://deci.ai,Deep learning optimization platform,AI | Machine Learning | Software Development,deci.ai
DeepBrain Chain,Decentralized AI Computing Platform,https://deepbrainchain.org,AI computing power marketplace,Blockchain | AI | Cloud Computing,deepbrainchain.org
DeepJudge,Collective Knowledge Revived,https://www.deepjudge.ai,AI-powered search for legal documents,Legal Tech | AI | Document Management,deepjudge.ai
DeepMind,AI for protein structure prediction,https://deepmind.google/discover/blog/demis-hassabis-john-jumper-awarded-nobel-prize-in-chemistry/,AlphaFold,AI | Biotech | Machine Learning,deepmind.google
DeepScribe,AI Medical Scribe,https://www.deepscribe.ai/,AI Documentation built for Enterprise,Healthcare | AI | Medical Technology,deepscribe.ai
Deepgram,Voice AI: Text to Speech + Speech to Text APIs,https://deepgram.com,"APIs for speech-to-text, text-to-speech, and language understanding",Voice AI | Speech Recognition | Text to Speech | Speech to Text | Audio Intelligence,deepgram.com
Deforum,Deforum leverages Stable Diffusion to generate evolving AI visuals.,https://deforum.art,AI animation tools and community,AI | Art | Open Source | Animation,deforum.art
Deforum,Generative Art and AI Tools,https://deforum.github.io,AI-driven generative art tools,Technology | Art | AI | Software,deforum.github.io
Determined AI,The fastest and easiest way to build deep learning models.,https://determined.ai,Distributed Deep Learning and Hyperparameter Tuning Platform,Deep Learning | AI | Machine Learning | Software,determined.ai
DevRev,Unify Customer Support & Software Development,https://devrev.ai,AgentOS platform and knowledge graph,Product | Platform | Solutions | Marketplace,devrev.ai
Dhenu 1.0,Empowering Farmers with AI Solutions,https://kissan.ai,AI-driven agricultural solutions,Agriculture | Technology | AI | Sustainability,kissan.ai
Dialpad,The Ai-powered Customer Communications Platform,https://www.dialpad.com,Ai-powered Customer Communications Platform,Small Business | Enterprise,dialpad.com
Dify.AI,The Innovation Engine for Generative AI Applications,https://dify.ai,Generative AI application development platform,AI | Software Development | Open Source,dify.ai
Digital Diagnostics,Transforming Global Healthcare With Artificial Intelligence,https://www.digitaldiagnostics.com,LumineticsCore™,Healthcare | AI | Medical Technology,digitaldiagnostics.com
DigitalOwl,AI Medical Reviews for Insurers & Legal Professionals,https://www.digitalowl.ai,AI-powered platform for medical record reviews,Life Insurance | P&C Insurance | Legal,digitalowl.ai
Diveplane,Bringing AI to the people.,https://diveplane.com,AI and machine learning solutions for data privacy and transparency,AI | Data Privacy | Machine Learning | Software Development,diveplane.com
Docus,AI-Powered Health Platform,https://my.docus.ai/auth/signup,Personal Health Assistant powered by AI,Health Tech | AI | Personal Health Management,docus.ai
Donna,Your AI-powered personal assistant.,https://askdonna.io,AI personal assistant services,AI | Productivity | Technology,askdonna.io
Donna,Your personal AI assistant for everyday tasks.,https://askdonna.com,AI-powered personal assistant,AI | Productivity | Technology,askdonna.com
DraftWise,"Connecting lawyers with their best language for faster, more accurate contracts.",https://www.draftwise.com,Contract and Negotiation AI,Legal Tech | AI Solutions | Contract Management,draftwise.com
DreamBig Semiconductor,Chiplet Platform,https://dreambigsemi.com/,"Chiplet platform for AI, datacenters, and automotive markets",Semiconductors | Technology | AI | Data Centers | Automotive,dreambigsemi.com
Dynamo AI,"Delivering Secure, Compliant Enterprise AI",https://dynamo.ai,"End-to-end privacy, security, and compliance solutions for AI",AI | Enterprise Solutions | Compliance | Security,dynamo.ai
Dynamo AI,Empowering businesses with AI-driven insights,https://dynamoai.com,AI analytics platform,AI | Data Analytics | BI,dynamoai.com
E2B,Open-source Code Interpreting for AI Apps,https://e2b.dev,Open-source runtime for running AI-generated code in secure cloud sandboxes,AI | Open-source | Software Development,e2b.dev
E42,Streamline Your Enterprise Process with AI-Led Automation,https://e42.ai,Cognitive Process Automation platform,AI | Automation | Finance | Human Resources | IT Operations,e42.ai
EDB,"An intelligent platform for unified management of transactional, analytical, and AI workloads — powered by Postgres.",https://www.enterprisedb.com/,EDB Postgres AI,Database Management | AI | Cloud Services,enterprisedb.com
ELSA Speak,The world’s best way to improve your English pronunciation,https://elsaspeak.com/en/,AI-powered English speaking coach,Education | Language Learning | AI,elsaspeak.com
EPAM,Software Engineering & Product Development Services,https://www.epam.com,Software Engineering & Product Development Services,Software Engineering | Product Development | Cloud Services | Data & Analytics | AI | Cybersecurity | Customer Experience,epam.com
"Easel AI, Inc.",Express Your Imagination to Friends,https://easelapps.ai,AI-powered creative expression app,Technology | AI | Mobile Apps,easelapps.ai
Effectiv,The Real-Time Risk Decisioning Platform,https://effectiv.ai,Real-time fraud & risk decisioning platform,Financial Technology | Fraud Prevention | Risk Management,effectiv.ai
Eightfold Talent Intelligence,AI platform for all talent,https://eightfold.ai,Talent Intelligence Platform,AI | Talent Acquisition | Talent Management | Workforce Exchange | Resource Management,eightfold.ai
Elastic,The Search AI Company,https://www.elastic.co/,Search and analytics platform,Search | Security | Observability | Generative AI,elastic.co
Element5,The intelligent automation platform transforming post-acute operations,https://www.e5.ai/,Post-acute workflow automation,Healthcare | Automation | Technology,e5.ai
Eleos Health,Automation & AI for Behavioral Health,https://eleos.health,CareOps Automation platform,Behavioral Health | AI Solutions | Healthcare Technology,eleos.health
EliseAI,Industry Leading AI for Property Management,https://www.meetelise.com,AI Assistant & CRM for Housing,AI | Property Management | Real Estate | Technology,meetelise.com
EliseAI,The AI Assistant for Your Property,https://www.eliseai.com/,AI solutions for property management,AI | Property Management | Real Estate | Technology,eliseai.com
ElliQ,"Your AI sidekick for happier, healthier aging",https://www.intuitionrobotics.com/about,AI companion for seniors,Health Tech | AI | Robotics | Elder Care,intuitionrobotics.com
ElliQ,Your friendly companion for healthy aging.,https://www.elliq.com,An AI-powered social robot designed to assist older adults in maintaining their independence and well-being.,Health Tech | Robotics | Elder Care | AI | AI,elliq.com
Enchant,Better conversations with your customers,https://www.enchant.com,Customer Service Software,Customer Service | Software | AI,enchant.com
Encord,The Data Development Platform for AI Teams,https://encord.com,AI data curation and labeling,Technology & Software | Healthcare & Medical | Computer Vision | Life Sciences & Biotech,encord.com
Endless Frontier Labs,Advancing human welfare through science and technology-based entrepreneurship.,https://endlessfrontierlabs.com/,Mentorship and support for seed-stage science and technology startups.,AgTech | AI | BioTech | Digital Tech | Life Sciences | Deep Tech,endlessfrontierlabs.com
Engati,Conversational AI Chatbot Software for Your Website,https://www.engati.com,Conversational AI platform,E-Commerce & Retail | Logistics | Edtech | Healthcare | Travel & Hospitality | Insurance & Banking | Government | Real Estate,engati.com
Essert Inc,AI Governance - Responsible AI and AI Compliance,https://essert.io/,AI Governance Solution,AI Governance | Compliance | Cybersecurity,essert.io
Etched,Transforming ideas into reality with AI-driven design.,https://etched.ai,AI-powered design tools,Technology | AI | Design | Software,etched.ai
EvaBot,Break into new accounts with precision sales triggers,https://www.evabot.com,Sales AI Tool,Sales | AI | Technology,evabot.com
Everyprompt,A playground for GPT-3,https://everyprompt.com,AI-driven APIs,AI | Software Development | Productivity,everyprompt.com
Evisort,AI-powered Contract Management Software,https://www.evisort.com,Contract Lifecycle Management (CLM) Software,Software | AI | Legal Tech,evisort.com
EvolutionaryScale,Frontier AI for the life sciences.,https://www.evolutionaryscale.ai,ESM3 - a new type of language model for protein design,AI | Life Sciences | Biotech,evolutionaryscale.ai
EvolutionaryScale,Transforming data into intelligent insights.,https://evolutionaryscale.com,Data management and analytics platform,Data Analytics | Cloud Computing | AI,evolutionaryscale.com
Explainable-DSE,Bridging the gap between data science and explainability.,https://doi.org/10.1234/explainable-dse,Explainable AI tools for data science applications,AI | Data Analytics | Machine Learning | Software Development,doi.org
Exscientia,Technology-driven AI Drug Discovery,https://exscientia.ai,AI Drug Discovery,Technology | Healthcare | Pharmaceuticals,exscientia.ai
EyeLevel.ai,Instantly see how our GroundX APIs turn your complex documents into LLM-ready data.,https://www.eyelevel.ai,RAG platform for converting documents into LLM-ready data,AI | Document Processing | APIs | No Code Tools,eyelevel.ai
FLORA,Keep up with tech in 5 minutes,https://florafauna.ai,AI creative software with all the best creative AI models on one infinite canvas,AI | Software,florafauna.ai
Facteus,Synthetic Data Engine & Synthetic Data,https://www.facteus.com,Synthetic Data Engine,FinTech | Data Solutions | Analytics | Machine Learning | AI,facteus.com
FalkorDB,The Knowledge Graph Database for LLM,https://www.falkordb.com,Graph database platform for AI applications,Database | AI | Graph Technology,falkordb.com
Fathom,Medical coding automation powered by AI,https://fathomhealth.com,Medical coding automation,Technology | Healthcare | AI,fathomhealth.com
FeatureByte,"Your Copilot to Fully Governed AI Pipelines in Minutes, at 1/5th the Cost",https://featurebyte.com,AI feature engineering and management platform,AI | Data Analytics | Machine Learning,featurebyte.com
FedML,Federated Learning for Everyone,https://fedml.ai,Federated Learning Platform,AI | Machine Learning | Data Privacy | Cloud Computing,fedml.ai
Feedzai,Financial Fraud Detection Software,https://feedzai.com,RiskOps - Financial Crime Solutions,Financial Crime | Fraud Detection | Risk Management | Fintech,feedzai.com
Ferrum Health,Healthcare AI Platform | Radiology AI,https://ferrumhealth.com,AI Orchestrator for clinical AI deployment,Healthcare | AI | Radiology,ferrumhealth.com
Fetch AI,Open platform to build AI Apps & Services,https://fetch.ai,AI platforms and services,AI | Technology | Software Development,fetch.ai
Fiddler AI,"AI Observability, ML Model Monitoring, LLM Monitoring, and Explainable AI",https://www.fiddler.ai,Fiddler AI Observability,AI Observability | ML Model Monitoring | LLM Monitoring | Explainable AI,fiddler.ai
Figure,AI for Financial Services,https://figure.ai,AI-driven financial solutions,Fintech | AI | Financial Services,figure.ai
Filevine,AI-powered tool for enhancing deposition processes.,https://www.filevine.com/,"Depo CoPilot, an AI tool for depositions",Legal Tech | AI | Litigation Support,filevine.com
Final Round AI,Revolutionizing the hiring process with AI-driven insights.,https://finalroundai.com,AI-powered recruitment platform,AI | Human Resources | Recruitment Technology,finalroundai.com
Findly,AI Data Analysis Tools & Machine Learning for Businesses,https://dashboard.findly.ai,AI-driven data analytics and insights,AI | Data Analysis | Machine Learning | BI,findly.ai
Fini,"Turn your knowledge base into an AI chat, in 2 minutes.",https://app.usefini.com/,AI customer support chat integration,AI | Customer Service | SaaS,usefini.com
FireTail,"API Security. As simple as import, setup, done.",https://www.firetail.app/,API Security,Cybersecurity | API Management | Software as a Service (SaaS),firetail.app
FireTail,Secure your cloud with confidence.,https://firetail.io,Cloud security solutions,Cybersecurity | Cloud Computing | Software,firetail.io
Fireworks AI,Fastest Inference for Generative AI,https://fireworks.ai,Inference engine for generative AI systems,AI | Technology | Software,fireworks.ai
Fireworks AI,Building the Future of Generative AI: Compound AI Systems,https://opendatascience.com/building-the-future-of-generative-ai-compound-ai-systems/,Generative AI solutions,Generative AI | AI | Machine Learning,opendatascience.com
Fiskl AI,Your intelligent global accounting,https://fiskl.com,AI-powered global accounting,Accounting | Finance | AI | Software,fiskl.com
Fixie.ai,We're building AIs that can communicate as naturally as humans,https://console.fixie.ai,Open-source speech-to-speech model,AI | Speech Recognition | Open Source,fixie.ai
FlexAI,Empowering businesses with AI-driven solutions,https://flexai.com,AI-powered analytics and automation tools,AI | Software Development | Data Analytics,flexai.com
Flint,AI for personalized learning,https://flintk12.com,AI platform for personalized learning in schools,Education | AI | EdTech,flintk12.com
Flow XO,"Enhance your lead gen, customer support, and scheduling with Flow XO’s AI-powered chatbots",https://flowxo.com/,AI-powered chatbots for lead generation and customer support,Chatbots | Customer Service | Lead Generation | AI Solutions,flowxo.com
Flowise,Low code LLM Apps Builder,https://flowise.ai,Open source low-code tool for developers to build customized LLM orchestration flow & AI agents,Software | AI | Dev Tools,flowise.ai
FlowiseAI (YC S23),Low-code LLM apps builder,https://flowiseai.com,Open source drag & drop tool to build customized LLM flow,Software Development,flowiseai.com
Flowrabbit.ai,No Code platform for user centric AI Workflows,https://flowrabbit.ai,Generative AI platform for building custom AI solutions,AI | No Code | Workflow Automation | Content Creation,flowrabbit.ai
Fluently,AI-powered English coach,https://app.getfluently.app,Personalized AI feedback for English language improvement,Education | Language Learning | AI,getfluently.app
Flux,Build PCBs faster with an AI teammate,https://www.flux.ai/,AI-powered hardware design assistant,Hardware Design | AI Tools | Electronics,flux.ai
Flyte,"Build production-grade data and ML workflows, hassle-free with Flyte",https://www.union.ai,"Workflow orchestration platform for data, ML, and analytics",Data | ML | Analytics,union.ai
Forethought,AI that answers a high volume of support tickets instantly,https://forethought.ai/,Advanced AI Agent for customer support,E-commerce | SaaS | FinTech | Travel,forethought.ai
Freeplay,Create great AI products as a team,https://freeplay.ai,"One platform to test, evaluate, monitor & optimize AI in production.",AI | Software Development | Product Management,freeplay.ai
Front,The AI-powered customer service platform built for collaboration,https://front.com,Customer service platform,Technology | Financial Services | Logistics | Manufacturing | Professional Services | Travel,front.com
Fundwriter.ai,Say hello to your new fundraising assistant.,http://www.fundwriter.ai,AI-powered writing tools for fundraising,Nonprofit | Fundraising | AI | Software,fundwriter.ai
G42,Inventing a Better Everyday,https://www.g42.ai,Artificial Intelligence Solutions,AI | Cloud Computing | Data Centers | AI Research,g42.ai
GIGABYTE Global,Delivering a Better Tomorrow,https://www.gigabyte.com,"Motherboards, Graphics Cards, Laptops, Monitors, and Servers",Consumer | Enterprise | AI | Gaming | Data Center,gigabyte.com
Gable,Connect data producers to data consumers at the source,https://trust.gable.ai/,Data Contracts Platform,Data Quality | Data Governance | Data Management,gable.ai
Galileo,The Generative AI Evaluation Company,https://www.rungalileo.io,"End-to-end GenAI evaluation, experimentation, observability, and protection platform",AI | Machine Learning | Software Development,rungalileo.io
Galileo,AI assistant for HR,https://joshbersin.com,AI-powered HR expert,HR Technology | AI Solutions | Human Capital Management,joshbersin.com
Gems,Your AI knowledge assistant,https://www.scoopgems.com,AI knowledge assistant,AI | Productivity | Knowledge Management,scoopgems.com
Gemsouls,"Meet, befriend, and create virtual characters",https://www.mygemsouls.com,Artificial intelligence platform for virtual characters,AI | Virtual Reality | Entertainment | app,mygemsouls.com
GenHealth.ai,Generative Healthcare AI,https://genhealth.ai,AI Auto Prior Auth and Gen AI Analytics,Healthcare | AI | Technology,genhealth.ai
Generatrix,Empowering Generative AI Solutions,https://generatrix.net,Generative AI tools and platforms,AI | Software Development | Technology,generatrix.net
Genesis Therapeutics,AI-Powered Drug Discovery,https://genesistherapeutics.ai,AI-driven drug discovery platform,Biotech | Pharmaceuticals | AI | Healthcare,genesistherapeutics.ai
Genesys,The #1 AI-powered experience orchestration platform,https://www.genesys.com,Genesys Cloud,Customer Experience | AI | Cloud Services | Contact Center Solutions,genesys.com
Genspark,Empowering the Future of Work with AI,https://genspark.ai,AI-driven talent development and workforce solutions,AI | Human Resources | EdTech | Workforce Development,genspark.ai
GetCrux,AI Copilot for Performance Marketing,https://www.getcrux.ai/,AI Ads Specialist,Performance Marketing | AI Tools | Advertising Technology,getcrux.ai
Giskard,Testing platform for AI models,https://www.giskard.ai/,AI Testing platform,AI Quality | AI Security | AI Compliance,giskard.ai
GitLab,The most-comprehensive AI-powered DevSecOps platform,https://gitlab.com,DevSecOps platform,Software Development | DevOps | Security,gitlab.com
Gitar,Gitar uses advanced AI and code analysis to clean and maintain the largest codebases in the world,https://gitar.co,AI agents for codebase management,Software | AI | Dev Tools,gitar.co
Glass Health,AI-powered clinical decision support,https://glass.health/,AI platform for developing differential diagnoses and drafting clinical plans,Healthcare | AI | Clinical Decision Support,glass.health
Glean,Work AI for all.,https://www.glean.com,Work AI platform,AI | Enterprise Software | Productivity,glean.com
GoPenAI,Where the ChatGPT community comes together to share insights and stories,http://gopenai.com/,Community platform for ChatGPT users,Community | AI | ChatGPT,gopenai.com
Good Pair Days,Wine made simple.,https://goodpairdays.com,Wine subscription service,E-commerce | Food & Beverage | Subscription Service,goodpairdays.com
Gooey.AI,The best of private & open source AI,https://gooey.ai,AI Solutions for Worker Productivity,AI | Productivity | Open Source | Technology,gooey.ai
Gooey.AI,AI-Powered Search Engine Optimization,https://serp.ai,AI-driven SEO tools,AI | Search Engine Optimization | Software | Technology,serp.ai
Google,Developing and optimizing large-scale AI systems for LLM training and serving.,https://www.xiaofanzhang.net,AI systems development,Technology | AI | Software Engineering,xiaofanzhang.net
Google DeepMind,Our mission is to build AI responsibly to benefit humanity,https://deepmind.com/,AI technologies and models,AI | Machine Learning | Research,deepmind.com
Gradient,AI for Everyone,https://gradient.ai,AI-powered tools for developers,AI | Software Development | Machine Learning,gradient.ai
Gradient AI,AI for insurance industry,https://www.gradientai.com,AI solutions for underwriting and claims management in the insurance industry,Insurance | AI | Technology,gradientai.com
Gradient Flow,Unlocking Data and AI,https://gradientflow.com/,"Services related to data, machine learning, and AI",Data | Machine Learning | AI,gradientflow.com
Gradient Labs,AI-Powered Data Solutions,https://gradient-labs.ai,Data analytics and machine learning solutions,AI | Data Analytics | Machine Learning,gradient-labs.ai
Graphcore,The Intelligence Processing Unit (IPU) for AI,https://www.graphcore.ai,Intelligence Processing Unit (IPU),AI | Semiconductors | Hardware,graphcore.cn
Graphlit,Add memory to your AI apps & agents,https://portal.graphlit.dev,GraphRAG and RAG-as-a-Service platform,AI | Data Ingestion | Machine Learning | NLP,graphlit.dev
Greptile,AI Expert on Any Codebase,https://greptile.com,AI-Powered Code Reviews and Analysis,Software Development | AI Tools | Code Review | DevOps | AI | APIs | Dev Tools | Technology | Data Management | Software,greptile.com
Greptile,AI-driven solutions for financial insights,https://fxis.ai,Financial data analysis and insights,Finance | AI | Data Analytics,fxis.ai
Gretel.ai,The synthetic data platform for Generative AI,https://gretel.ai,Synthetic data generation platform,AI | Data Privacy | Data Generation,gretel.ai
Grid Dynamics,Global Digital Engineering Company,https://www.griddynamics.com/,"Technology consulting, platform engineering, AI, and digital engagement services",Technology Consulting | Platform Engineering | AI Services | Digital Engagement,griddynamics.com
Groq,Fast AI Inference,https://groq.com,GroqCloud™ Platform and GroqRack™ Cluster,AI | Cloud Computing | Technology,groq.com
Groq,The next tectonic shift in AI: Inference,https://www.uncoveralpha.com,AI Inference,AI | Semiconductors | Cloud Computing,uncoveralpha.com
Gumloop,Automate any workflow with AI.,https://gumloop.com,AI Automation Framework,Web Scraping | SEO Marketing | Document Processing,gumloop.com
H2O.ai,Democratizing AI with Automated Machine Learning,https://h2o.ai/,AI Cloud and Machine Learning Platforms,AI | Machine Learning | Cloud Computing,h2o.ai
Hailo,The World’s Top Performing Edge AI Processor For Edge Devices,https://hailo.ai/,AI processors for edge devices,AI Vision Processors | AI Accelerators | Generative AI Accelerators | Software | Semiconductors | AI | Hardware,hailo.ai
Haize Labs,Innovating the Future of AI Solutions,https://haizelabs.com,AI-driven software solutions,Technology | AI | Software Development,haizelabs.com
Harvey,"Domain-specific AI for law firms, professional service providers, and the Fortune 500.",https://www.harvey.ai/,AI-powered legal assistant,AI | Legal Tech | Professional Services,harvey.ai
Hatch,Giving is predictable,https://hatch.ai/,Giving Intelligence Platform,Nonprofit | Fundraising | Data Enrichment,hatch.ai
Hazy,The enterprise synthetic data platform,https://hazy.com,Synthetic data platform,Data Management | AI | Data Privacy,hazy.com
Hebbia,The AI platform for knowledge work,https://hebbia.ai,Generative AI for knowledge work,Asset management | Advisory | Legal | Credit | Real Estate | Corporate | Consulting,hebbia.ai
Helsing,Artificial Intelligence to serve our democracies,https://helsing.com/en,Defence AI solutions,AI | Defense | Technology,helsing.com
Helsing.ai,Empowering defense with AI-driven insights.,https://helsing.ai,AI solutions for defense and security applications,AI | Defense Technology | Software Development,helsing.ai
Hex,Bring everyone together with data,https://app.hex.tech,"Collaborative, AI-powered workspace for data analysis",Data Analysis | Collaboration | AI Tools,hex.tech
HiDream.ai,Where AI Meets Creativity,https://www.hidream.ai,AI platform for image and video generation,AI | Technology | Creative Tools,hidream.ai
Higgsfield AI,Diffuse is an AI-powered storytelling platform that puts you right into the action.,https://higgsfield.ai/diffuse,AI-powered storytelling platform,Technology | AI | Video Generation,higgsfield.ai
Hippocratic AI,AI for healthcare that puts patients first,https://hippocraticai.com,AI-driven healthcare solutions,Healthcare | AI | Technology,hippocraticai.com
Holland & Knight,"The hallmark of Holland & Knight's success has always been and continues to be legal work of the highest quality, performed by well prepared lawyers who revere their profession and are devoted to their clients.",https://www.hklaw.com,Legal services,Law Firm | Legal Services,hklaw.com
HoneyHive,AI Evaluation and Observability Platform,https://www.honeyhive.ai,AI Performance and Reliability tools,AI | Software | Observability | Data Analytics,honeyhive.ai
Howso,-1,https://www.howso.com,Causal AI and Data Insights,AI | Data Analytics | Machine Learning,howso.com
Hugging Face,The AI community building the future.,https://huggingface.co,"The platform where the machine learning community collaborates on models, datasets, and applications.",Machine Learning | AI | Open Source,huggingface.co
Humanitas AI,Empowering healthcare with AI-driven insights,https://humanitas.ai,AI solutions for healthcare data analysis,Healthcare | AI | Data Analytics,humanitas.ai
Humanloop,Enterprise LLMOps Platform,https://humanloop.com,AI features development platform,AI | Software | Enterprise Solutions,humanloop.com
Hyperplane,Data intelligence company from Silicon Valley,https://hyperplane.ai,Data intelligence platform,Fintech | AI | Data Intelligence,hyperplane.ai
Iktos,"Makya, the first generative AI platform designed by chemists for chemists.",https://www.iktos.com,AI-driven drug discovery solutions,Generative AI | Drug Discovery | AI-driven Retrosynthesis | Automation,iktos.com
Iktos,AI-driven drug design,https://iktos.ai,AI-based drug discovery platform,Biotech | AI | Pharmaceuticals,iktos.ai
Imbue,We're looking for fearless explorers to join us on our mission,https://imbue.ai,AI systems that can reason and code,AI | Machine Learning | Software Development,imbue.ai
Imbue,Empowering your digital experience,https://imbue.com,AI-driven personalization platform,Technology | AI | Software | Marketing,imbue.com
Impact AI,"AI products, built better with Impact AI",https://impact.ai,AI Product Management Platform,AI | Technology | Software,impact.ai
Impact Observatory,AI-Powered Geospatial Monitoring,https://store.impactobservatory.com/order/,AI-powered geospatial monitoring and on-demand data,Geospatial Technology | AI | Data Analytics,impactobservatory.com
ImpactWriter,AI Assistant for Nonprofits,https://impactwriter.io/,AI content generation for nonprofits,Nonprofit | AI | Content Generation,impactwriter.io
Imperson,"Conversational AI Solutions, Infinite Possibilities",https://www.imperson.com,Turnkey chatbot solutions that automate the entire customer journey through conversation.,Conversational AI | Chatbots | Customer Service | Marketing | Sales,imperson.com
Inbenta,Automate Conversational Experiences with AI,https://www.inbenta.com,Conversational AI platform,AI | Customer Service | Digital Transformation | Marketing & Sales | IT Helpdesk | HR,inbenta.com
Infinitus,Automating Complex Healthcare Calls with AI,https://www.infinitus.ai/,A purpose-built healthcare AI system that automates the collection of data traditionally gathered via manual phone calls.,Healthcare | AI | Automation,infinitus.ai
Inflection AI,Own your edge,https://developers.inflection.ai/login,Enterprise AI solutions,AI | Enterprise Software,inflection.ai
Inflection AI,AI for Everyone,https://pi.ai,AI-powered personal assistant,AI | Technology | Software,pi.ai
IngestAI,The AI Trained on Your Business,https://ingestai.io,AI Consulting and Development,AI | Consulting | Technology,ingestai.io
Insilico Medicine,Artificial Intelligence for Every Step of Pharmaceutical Research and Development,https://insilico.com,PHARMA.AI Suite,Biotech | AI | Pharmaceuticals,insilico.com
Instill AI,We design intelligent models with care and passion,https://instillai.com/,AI model design and implementation,AI | Machine Learning | Data Analytics | Healthcare | Computer Vision | NLP,instillai.com
Intercom,The complete AI-first customer service solution,https://www.intercom.com,AI-first customer service platform,Customer Service | AI Technology | SaaS | Customer Service | SaaS,intercom.com
Inworld,Empowering the next generation of AI characters.,https://inworld.ai,AI character creation platform,AI | Technology | Software | Gaming,inworld.ai
It's Alive,Build better products with AI-driven insights.,https://itsalive.io,AI-driven product management tools,Software | Product Management | AI,itsalive.io
JAX,A framework for high-performance machine learning research.,https://jax.readthedocs.io,Machine learning framework,Machine Learning | AI | Software Development,jax.readthedocs.io
Jasper,AI copilot for enterprise marketing teams,https://www.jasper.ai/,AI marketing platform,Marketing | AI | Content Creation | Software,jasper.ai
Jerry,America’s first and only AllCar™ app,http://Propelix.ai,AI-powered app for car ownership management,B2B | GenAI | SaaS | Automotive,propelix.ai
Jigso,"Make better decisions, faster.",http://app.jigso.io/,AI-powered research and monitoring,AI | Productivity | Research | Monitoring,jigso.io
Jina AI,"Your Search Foundation, Supercharged.",https://jina.ai,Multimodal AI applications and embeddings,AI | Search | Machine Learning | NLP,jina.ai
Jobiak,We Make Hiring Happen!,https://jobiak.ai/,AI platform designed to maximize recruiting potential on Google for Jobs,Recruitment Technology | AI | SEO,jobiak.ai
KOGO AI,AI-driven solutions for smarter living.,https://kogo.ai,AI-powered personal assistant,AI | Technology | Consumer Services,kogo.ai
Kai Waehner,Technology Evangelist – Big Data Analytics – Middleware – Apache Kafka,https://www.kai-waehner.de/,cloud-native event streaming infrastructures for real-time data processing and analytics,Big Data | Analytics | Middleware | Apache Kafka | Generative AI | Chatbot | Data Streaming | Big Data Analytics,kai-waehner.de
Kairos,Instant Identity Verification powered by AI,https://www.kairos.com,Identity Verification,"Financial Services | Micromobility | Online Gaming | Alcohol, Tobacco, Cannabis | Online Dating",kairos.com
Kannada Llama,A Continually LoRA PreTrained & FineTuned 7B Indic model,https://www.tensoic.com/,Language Model for Kannada,AI | NLP | Open Source,tensoic.com
Katonic AI,Generative AI Applications & Chatbot Solutions,https://www.katonic.ai,Katonic Generative AI Platform,Generative AI | MLOps | AI Applications | Chatbot Solutions,katonic.ai
KeyChain Pay,Secure and convenient payment solutions for everyone.,https://keychainpay.com,Digital wallet and payment processing services,Fintech | Payments | Blockchain | E-commerce,keychainpay.com
Kili Technology,Unique Data for Frontier AI,https://kili-technology.com,Data Labeling and Annotation Tools,AI | Data Annotation | Machine Learning,kili-technology.com
Kindo AI,"End Busy Work Today, Secure and Compliant",https://app.kindo.ai/login,AI management platform,AI | SaaS | Enterprise Software,kindo.ai
Kisaco Research,Connecting the AI Infrastructure Community,https://ai-infra-summit.com,AI Infrastructure Summit,Research | Events | Technology | AI,ai-infra-summit.com
Klu.ai,AI-Powered Knowledge Management,https://klu.ai,Knowledge management platform using AI,AI | Knowledge Management | Software as a Service (SaaS) | Data Analytics | BI,klu.ai
Kodif,Human Touch. Superhuman speed.,https://kodif.ai/,AI Platform for customer support,Customer Service | AI | Technology,kodif.ai
Kore.ai,AI-Optimized Customer and Employee Experiences,https://kore.ai/,AI Chat Bot experience Optimization Platform for customer and employee.,Enterprise | Small Business,kore.ai
Kubeflow,The Machine Learning Toolkit for Kubernetes,https://kubeflow.org/,Machine Learning Toolkit for Kubernetes,Machine Learning | AI | Cloud Computing,kubeflow.org
Kupid.ai,AI-driven matchmaking for modern relationships,https://dmiexpo.com,AI matchmaking platform,Technology | Dating | AI,dmiexpo.com
LAION,Open Data for AI,https://laion.ai,Open datasets for training AI models,AI | Data Analytics | Open Source,laion.ai
LLM Answer Engine,Revolutionizing the way we interact with information.,https://llmanswerengine.com,AI-powered answer engine for natural language queries,AI | NLP | Technology,llmanswerengine.com
Lago,Open source metering and usage-based billing,https://www.getlago.com,Usage metering and billing platform,Fintech | CPaaS | AI | Cloud Infra | SaaS API | B2C,getlago.com
LambdaTest,Power Your Software Testing with AI and Cloud,https://www.lambdatest.com/,Cross Browser Testing Cloud,Software Testing | Cloud Services | Automation Testing | AI Solutions,lambdatest.com
LandAirSea,Trusted GPS Tracking Solutions,https://landairsea.com/,GPS Tracking Solutions,GPS Tracking | Technology | Telecommunications,landairsea.com
LangChain,Building applications with LLMs through composability.,https://www.langchain.com,Framework for developing applications powered by language models.,AI | Software Development | NLP | Machine Learning,docs.langchain.com
